,Slope ($\mu$m/y),Sample
141,-0.8519876,true scores
142,-0.84650749,true scores
143,-0.83387303,true scores
144,-0.58283484,true scores
145,0.19087386,true scores
146,-0.49866688,true scores
147,-0.6373238,true scores
148,-0.40778825,true scores
149,-0.63954943,true scores
150,-4.3110189,true scores
151,-1.2554519,true scores
152,-0.54400033,true scores
153,0.71512336,true scores
154,-1.3011522,true scores
155,0.26402086,true scores
156,-1.1070524,true scores
157,-0.71478045,true scores
158,-0.20660983,true scores
159,-0.05152614,true scores
160,-0.087234281,true scores
161,0.032554049,true scores
162,-0.40888244,true scores
163,-1.1458549,true scores
164,-0.40341696,true scores
165,-0.81184149,true scores
166,0.083434246,true scores
167,-0.59883291,true scores
168,-0.5428021,true scores
169,-0.36711323,true scores
170,-0.23091985,true scores
171,-0.52400267,true scores
172,0.44731644,true scores
173,-0.35190827,true scores
174,-0.3630234,true scores
175,-0.14458963,true scores
176,1.7546288,true scores
177,0.33056018,true scores
178,-1.2765381,true scores
179,-0.86566198,true scores
180,-1.4265903,true scores
181,0.035013754,true scores
182,-0.16688868,true scores
183,0.077291511,true scores
184,0.19924076,true scores
185,-1.0780374,true scores
186,-0.80964065,true scores
187,-1.0238658,true scores
188,0.068544134,true scores
189,-0.69889063,true scores
190,-0.15408549,true scores
191,-0.97044766,true scores
192,-0.33425406,true scores
193,-1.0364773,true scores
194,-0.60094029,true scores
195,-0.85762119,true scores
196,-0.85389334,true scores
197,-0.34557328,true scores
198,0.031371672,true scores
199,-0.95594323,true scores
200,-0.66349423,true scores
201,-0.24484253,true scores
202,0.038099099,true scores
203,-1.4502991,true scores
204,-0.96347386,true scores
205,-0.66180855,true scores
206,-0.35308042,true scores
207,-0.97044766,true scores
208,0.26426634,true scores
209,-0.11136524,true scores
210,0.55838865,true scores
211,-1.3428171,true scores
212,-0.048274633,true scores
213,-1.0144284,true scores
214,-1.3428171,true scores
215,-0.55621952,true scores
216,-0.3117108,true scores
217,0.055879626,true scores
218,-0.2154617,true scores
219,-0.52859139,true scores
220,-0.053311113,true scores
221,-0.62258267,true scores
222,-2.125304,true scores
223,0.038099099,true scores
224,-0.82042736,true scores
225,-0.40780813,true scores
226,0.37139577,true scores
227,-0.73661309,true scores
228,-0.47433582,true scores
229,-0.35308042,true scores
230,-0.50472146,true scores
231,-0.42261165,true scores
232,0.038099099,true scores
233,1.8655112,true scores
234,-0.71079659,true scores
235,1.2014781,true scores
236,-0.97044766,true scores
237,-0.74067402,true scores
238,0.54791868,true scores
239,-0.39887542,true scores
240,-0.56297469,true scores
241,-0.56158936,true scores
242,-0.37427184,true scores
243,1.0284442,true scores
244,-1.8286277,true scores
245,-0.36206681,true scores
246,-0.68563753,true scores
247,-0.91697586,true scores
248,-0.32170716,true scores
249,-0.75022155,true scores
250,0.32003322,true scores
251,-0.76410741,true scores
252,-0.51058042,true scores
253,-1.3935771,true scores
254,0.21525495,true scores
255,-0.58830243,true scores
256,-1.2469994,true scores
257,-0.73020279,true scores
258,1.1669478,true scores
259,-0.42217264,true scores
260,0.73553336,true scores
261,-0.68544716,true scores
262,-0.76984543,true scores
263,-0.36711323,true scores
264,0.037149075,true scores
265,-0.4346171,true scores
266,-0.85767102,true scores
267,-0.29596248,true scores
268,-0.88231093,true scores
269,-1.1789993,true scores
270,0.24666528,true scores
271,-0.32512558,true scores
272,-0.4245235,true scores
273,0.43124437,true scores
274,-1.4502991,true scores
275,-0.42401791,true scores
276,-0.66944832,true scores
277,-0.98046613,true scores
278,-0.37990001,true scores
279,-0.32512558,true scores
280,-0.31381801,true scores
281,-0.16688868,true scores
282,-2.1297164,true scores
283,0.26635915,true scores
284,0.064430237,true scores
285,-0.6707719,true scores
286,-1.7426953,true scores
287,-1.1301098,true scores
288,-0.59415907,true scores
289,-0.52400267,true scores
290,0.20131336,true scores
291,-0.85740489,true scores
292,-1.104782,true scores
293,-0.16487092,true scores
294,-0.61254787,true scores
295,-1.1301098,true scores
296,-0.63202411,true scores
297,-0.51131392,true scores
298,-0.97149795,true scores
299,-0.41974419,true scores
300,-1.257273,true scores
301,-0.78080314,true scores
302,0.71512336,true scores
303,-0.77626759,true scores
304,-0.45621133,true scores
305,0.26417735,true scores
306,-0.50527453,true scores
307,-0.19551753,true scores
308,0.0090590902,true scores
309,0.82865226,true scores
310,-0.47492665,true scores
311,-1.1883817,true scores
312,-0.71240324,true scores
313,-0.71225291,true scores
314,-1.104782,true scores
315,-0.12902015,true scores
316,-0.74160194,true scores
317,-0.42116773,true scores
318,0.0063615334,true scores
319,-1.6872356,true scores
320,-0.23091985,true scores
321,-1.5287266,true scores
322,-0.57548952,true scores
323,-0.10014641,true scores
324,0.91268188,true scores
325,0.12401038,true scores
326,-0.68850404,true scores
327,0.15961106,true scores
328,-0.41641179,true scores
329,-0.21540114,true scores
330,-0.4245235,true scores
331,-0.40870938,true scores
332,-1.1004684,true scores
333,-0.67834955,true scores
334,-1.1883817,true scores
335,-1.1359226,true scores
336,0.032554049,true scores
337,2.1488037,true scores
338,-0.10014641,true scores
339,-0.3515203,true scores
340,-2.0195735,true scores
341,-2.1039305,true scores
342,-0.38333562,true scores
343,-0.084318765,true scores
344,-1.1283118,true scores
345,-0.74160194,true scores
346,-1.8261814,true scores
347,-0.62839204,true scores
348,-1.9521433,true scores
349,-0.68876368,true scores
350,-0.63373911,true scores
351,-1.3312157,true scores
352,0.46655884,true scores
353,-0.56297469,true scores
354,-0.63176292,true scores
355,-0.5428021,true scores
356,-0.68327332,true scores
357,-0.58283484,true scores
358,-0.53339225,true scores
359,-0.69889063,true scores
360,-1.0551186,true scores
361,-0.96053767,true scores
362,-0.16715649,true scores
363,-0.80714262,true scores
364,0.20784426,true scores
365,0.037149075,true scores
366,-0.19189687,true scores
367,-0.49089518,true scores
368,1.4966104,true scores
369,-1.298859,true scores
370,-0.340684,true scores
371,-1.300433,true scores
372,-0.42601413,true scores
373,-0.54400033,true scores
374,-1.0472662,true scores
375,-0.60070914,true scores
376,-0.24484253,true scores
377,-0.42240629,true scores
378,-0.11041374,true scores
379,-0.55321181,true scores
380,-1.257273,true scores
381,-1.3011522,true scores
382,-0.83225858,true scores
383,-0.9813388,true scores
384,-0.49837273,true scores
385,-0.29145345,true scores
386,-0.22781987,true scores
387,0.17398877,true scores
388,-0.59315002,true scores
389,-1.4552913,true scores
390,-0.36444226,true scores
391,-0.53744358,true scores
392,-1.3178704,true scores
393,-0.43971613,true scores
394,0.45689806,true scores
395,-0.78501564,true scores
396,0.20784426,true scores
397,-0.16487092,true scores
398,-1.0380558,true scores
399,-0.43128738,true scores
400,-2.2288344,true scores
401,-0.25556192,true scores
402,-1.1789993,true scores
403,-0.8125549,true scores
404,-1.3574984,true scores
405,-0.29596248,true scores
406,-0.98314095,true scores
407,0.45689806,true scores
408,-0.078845687,true scores
409,-0.12659536,true scores
410,-0.51058042,true scores
411,-0.70573801,true scores
412,-0.6172182,true scores
413,-0.71502936,true scores
414,-0.77853847,true scores
415,-1.0238658,true scores
416,-1.8721325,true scores
417,-0.99438214,true scores
418,-0.6993466,true scores
419,-0.76916778,true scores
420,-0.71249872,true scores
421,-0.3630234,true scores
422,-0.44679859,true scores
423,-1.2240192,true scores
424,-1.1493537,true scores
425,-0.46500093,true scores
426,-1.1973509,true scores
427,0.058906417,true scores
428,-0.65119004,true scores
429,-0.75645608,true scores
430,-0.98748112,true scores
431,-0.79214621,true scores
432,-0.11041374,true scores
433,-0.28467554,true scores
434,0.20784426,true scores
435,-0.36000514,true scores
436,0.17340238,true scores
437,-0.84664279,true scores
438,0.13551502,true scores
439,0.030389119,true scores
440,-1.5154917,true scores
441,-1.4650404,true scores
442,-0.30522937,true scores
443,-0.34972426,true scores
444,-0.61766315,true scores
445,-0.42089185,true scores
446,0.61438531,true scores
447,-0.44757369,true scores
448,-0.24157877,true scores
449,-1.0815181,true scores
450,0.14483203,true scores
451,-0.4979181,true scores
452,-0.59315002,true scores
453,-0.252471,true scores
454,-1.0879761,true scores
455,-0.58283484,true scores
456,0.27387238,true scores
457,-0.90578622,true scores
458,-1.2765381,true scores
459,-0.70414138,true scores
460,0.068544134,true scores
461,-0.80422169,true scores
462,0.45689806,true scores
463,-0.2390644,true scores
464,-0.56024253,true scores
465,-0.58350641,true scores
466,-0.39968917,true scores
467,-0.65896648,true scores
468,-0.21144027,true scores
469,-0.10110185,true scores
470,-0.64110452,true scores
471,-0.010118525,true scores
472,-0.5663749,true scores
473,-0.25422668,true scores
474,-0.44757369,true scores
475,-1.9461302,true scores
476,-0.92531538,true scores
477,-1.0183984,true scores
478,-0.54539472,true scores
479,-0.88350695,true scores
480,-1.300433,true scores
481,-0.71784431,true scores
482,-1.3239928,true scores
483,-0.16165835,true scores
484,-0.52869892,true scores
485,-1.0144284,true scores
486,-0.52869892,true scores
487,-0.28645927,true scores
488,-0.98522234,true scores
489,-0.51436877,true scores
490,-1.1359226,true scores
491,0.10357439,true scores
492,-1.0879761,true scores
493,-0.64006972,true scores
494,-0.320317,true scores
495,0.0056820107,true scores
496,-0.252471,true scores
497,-1.253839,true scores
498,-0.81357038,true scores
499,0.30710566,true scores
500,-0.86566198,true scores
501,-1.1785494,true scores
502,-1.5728362,true scores
503,-0.91262835,true scores
504,-0.29111496,true scores
505,-0.33652341,true scores
506,0.31125414,true scores
507,-0.49089518,true scores
508,-0.52537119,true scores
509,-0.5428021,true scores
510,0.030389119,true scores
511,-0.32512558,true scores
512,-0.93581241,true scores
513,-0.68158984,true scores
514,-0.72138381,true scores
515,-0.95459533,true scores
516,-1.8272568,true scores
517,-1.5551221,true scores
518,-1.2645445,true scores
519,-0.88877773,true scores
520,0.19583873,true scores
521,-0.320317,true scores
522,-0.47807273,true scores
523,-0.94441932,true scores
524,-0.35298744,true scores
525,-0.30985159,true scores
526,-0.81184149,true scores
527,-0.36441621,true scores
528,-0.48046267,true scores
529,-0.2155876,true scores
530,-1.2781729,true scores
531,-0.8519876,true scores
532,-0.54746372,true scores
533,-0.65065348,true scores
534,0.11765736,true scores
535,-0.05152614,true scores
536,-0.36791605,true scores
537,-0.10110185,true scores
538,0.055879626,true scores
539,-0.85818112,true scores
540,-0.77016008,true scores
541,-0.36027354,true scores
542,-1.0364773,true scores
543,-0.89784259,true scores
544,-0.19551753,true scores
545,-0.41397282,true scores
546,-0.52552575,true scores
547,-1.4947695,true scores
548,-0.31690985,true scores
549,0.082887076,true scores
550,-1.2464845,true scores
551,-0.56827807,true scores
552,-0.19551753,true scores
553,0.16660824,true scores
554,-0.84560984,true scores
555,-0.46500093,true scores
556,-0.78080314,true scores
557,-0.4346171,true scores
558,0.15961106,true scores
559,-0.41397282,true scores
560,-1.2385384,true scores
561,-0.4346171,true scores
562,-0.9247998,true scores
563,0.34871721,true scores
564,0.54791868,true scores
565,-0.59424537,true scores
566,-1.300433,true scores
567,-0.91160148,true scores
568,-0.64672846,true scores
569,-0.67684615,true scores
570,-0.12987387,true scores
571,-0.31899506,true scores
572,-0.74811411,true scores
573,-1.3228891,true scores
574,-1.3250791,true scores
575,-0.69595993,true scores
576,-0.56165886,true scores
577,-0.59680313,true scores
578,-0.14500235,true scores
579,-0.22781987,true scores
580,-0.36947432,true scores
581,-1.9461302,true scores
582,-0.57139075,true scores
583,-0.72138381,true scores
584,0.08013358,true scores
585,-0.68850404,true scores
586,-0.21277896,true scores
587,0.16384813,true scores
588,-0.96347386,true scores
589,-0.23662135,true scores
590,-0.68499583,true scores
591,-0.45112583,true scores
592,-1.8286277,true scores
593,-0.65856862,true scores
594,-0.72293079,true scores
595,-0.0089966767,true scores
596,-0.43903363,true scores
597,-0.63769937,true scores
598,-1.2781729,true scores
599,1.2014781,true scores
600,-1.1458549,true scores
601,-0.5446685,true scores
602,-1.2173373,true scores
603,-0.47805595,true scores
604,0.14664575,true scores
605,-0.40812811,true scores
606,0.16384813,true scores
607,-0.84374797,true scores
608,-0.081918545,true scores
609,-0.14500235,true scores
610,-0.78722042,true scores
611,-1.7426953,true scores
612,-0.67834955,true scores
613,2.1488037,true scores
614,0.26635915,true scores
615,-1.4753318,true scores
616,-0.33905485,true scores
617,0.023797292,true scores
618,-1.145409,true scores
619,-0.91697586,true scores
620,-0.61641163,true scores
621,-0.52835071,true scores
622,-0.5663749,true scores
623,-0.9277972,true scores
624,-0.73938638,true scores
625,-0.50379169,true scores
626,2.8085511,true scores
627,-0.920003,true scores
628,0.26635915,true scores
629,-0.32586959,true scores
630,-0.5428021,true scores
631,-0.67343551,true scores
632,-0.78177929,true scores
633,-0.71658713,true scores
634,0.24510466,true scores
635,-0.91262835,true scores
636,-0.75563526,true scores
637,-0.59424537,true scores
638,-0.045369904,true scores
639,-0.37990001,true scores
640,-0.25556192,true scores
641,-0.85818112,true scores
642,-0.64661843,true scores
643,-0.46796036,true scores
644,-0.37340185,true scores
645,-0.94155365,true scores
646,-0.62839204,true scores
647,-0.50379169,true scores
648,-0.79994041,true scores
649,-0.69595993,true scores
650,0.2241409,true scores
651,-0.11764225,true scores
652,-0.70652759,true scores
653,-0.6612376,true scores
654,-0.16776972,true scores
655,-1.1301098,true scores
656,-0.57139075,true scores
657,-0.27540436,true scores
658,-1.4552913,true scores
659,-0.76557106,true scores
660,0.66158152,true scores
661,-0.5446685,true scores
662,-1.0197928,true scores
663,-2.1039305,true scores
664,-0.83474195,true scores
665,-0.40461731,true scores
666,-0.33561462,true scores
667,-0.79117322,true scores
668,-0.14500235,true scores
669,-0.9918741,true scores
670,-0.59883291,true scores
671,-0.84636068,true scores
672,-0.37393582,true scores
673,-0.96347386,true scores
674,-0.18424201,true scores
675,1.8655112,true scores
676,-0.53723222,true scores
677,-0.084845163,true scores
678,-0.91697586,true scores
679,-0.30522937,true scores
680,-0.62942582,true scores
681,-0.66009963,true scores
682,-0.87059712,true scores
683,-0.01160294,true scores
684,-0.1790051,true scores
685,-0.93581241,true scores
686,-0.96899647,true scores
687,-0.8545723,true scores
688,-1.6608841,true scores
689,-1.8721325,true scores
690,-1.1039475,true scores
691,-0.51189584,true scores
692,-0.30489469,true scores
693,-0.44984657,true scores
694,-0.50312847,true scores
695,-2.7465222,true scores
696,-0.51257449,true scores
697,-0.75594014,true scores
698,-0.81565076,true scores
699,-0.44417778,true scores
700,-3.2711022,true scores
701,-0.51058042,true scores
702,0.61154366,true scores
703,-1.6481367,true scores
704,-0.5308243,true scores
705,-0.8770901,true scores
706,-0.49860653,true scores
707,-1.3466946,true scores
708,0.91268188,true scores
709,-1.0197928,true scores
710,-0.86686134,true scores
711,-0.19551753,true scores
712,-0.088694714,true scores
713,0.0041510952,true scores
714,-0.59424537,true scores
715,-1.5341924,true scores
716,-0.65856862,true scores
717,-0.95459533,true scores
718,-0.62942582,true scores
719,-2.1326792,true scores
720,-0.11980627,true scores
721,-1.1683677,true scores
722,-0.66009963,true scores
723,-0.25073606,true scores
724,-0.77506959,true scores
725,-0.76916778,true scores
726,-0.27392745,true scores
727,-0.51002431,true scores
728,-0.62193829,true scores
729,-0.66491103,true scores
730,0.20818128,true scores
731,-0.56256998,true scores
732,0.59460574,true scores
733,-0.92531538,true scores
734,-0.22457585,true scores
735,-0.77506959,true scores
736,-2.8456757,true scores
737,-0.48819768,true scores
738,-0.93204141,true scores
739,-0.61766315,true scores
740,-0.92531538,true scores
741,-1.5778399,true scores
742,-0.57123697,true scores
743,-1.4061879,true scores
744,-1.2781729,true scores
745,-0.71992254,true scores
746,-1.0364773,true scores
747,0.031371672,true scores
748,0.28052106,true scores
749,-1.4770876,true scores
750,-2.384794,true scores
751,-0.25073606,true scores
752,-1.042547,true scores
753,-0.32404175,true scores
754,-4.3110189,true scores
755,0.0033334962,true scores
756,-0.51002431,true scores
757,-1.6481367,true scores
758,-0.6707719,true scores
759,-0.24288289,true scores
760,-0.36441621,true scores
761,-0.96216315,true scores
762,-0.93484759,true scores
763,-0.76830912,true scores
764,-0.8125549,true scores
765,-0.97470468,true scores
766,-0.65807712,true scores
767,-0.6993466,true scores
768,-0.36841166,true scores
769,-1.0283344,true scores
770,-0.2735998,true scores
771,-0.19788115,true scores
772,-0.0089966767,true scores
773,-0.9229551,true scores
774,-0.81187308,true scores
775,-0.32588902,true scores
776,-0.55621952,true scores
777,0.12962347,true scores
778,0.26417735,true scores
779,-0.72947186,true scores
780,-0.2159469,true scores
781,-0.91160148,true scores
782,-0.51369357,true scores
783,-0.9229551,true scores
784,-1.9129232,true scores
785,-1.7980412,true scores
786,-1.1726907,true scores
787,-0.32397339,true scores
788,-1.2527633,true scores
789,-0.37990001,true scores
790,-0.30862939,true scores
791,-0.11271606,true scores
792,-0.31085956,true scores
793,0.058906417,true scores
794,0.51027769,true scores
795,-1.0815181,true scores
796,-0.87059712,true scores
797,-0.36711323,true scores
798,-0.21621214,true scores
799,-0.75645608,true scores
800,-0.48243579,true scores
801,-1.1027821,true scores
802,-0.61168391,true scores
803,-0.39546707,true scores
804,-0.64110452,true scores
805,0.069258504,true scores
806,-0.64905173,true scores
807,0.82865226,true scores
808,-0.44679859,true scores
809,-0.61471689,true scores
810,-0.32404175,true scores
811,-0.77316552,true scores
812,-0.66072464,true scores
813,-1.1911986,true scores
814,-1.4552913,true scores
815,-0.68499583,true scores
816,-0.66057575,true scores
817,0.46375871,true scores
818,-0.48424602,true scores
819,-1.0903834,true scores
820,-0.52046555,true scores
821,-0.71079659,true scores
822,-0.59358346,true scores
823,-1.1252381,true scores
824,-0.42043662,true scores
825,-0.75711,true scores
826,-0.4672876,true scores
827,-2.4718318,true scores
828,-0.63632441,true scores
829,-0.48046267,true scores
830,0.0041510952,true scores
831,-0.57408643,true scores
832,-1.0144284,true scores
833,-1.1199528,true scores
834,-1.3596483,true scores
835,-1.5287266,true scores
836,-0.54262829,true scores
837,-0.43903363,true scores
838,-0.40870938,true scores
839,-0.052537125,true scores
840,-1.2724422,true scores
841,-0.062029306,true scores
842,-1.5392303,true scores
843,-0.32586959,true scores
844,-1.2173373,true scores
845,-0.5446685,true scores
846,-0.78943658,true scores
847,-2.8085294,true scores
848,-0.29825544,true scores
849,-0.056831162,true scores
850,-0.73363727,true scores
851,-0.16487092,true scores
852,-0.54262829,true scores
853,-0.920003,true scores
854,-0.62839204,true scores
855,0.0056820107,true scores
856,-0.37340185,true scores
857,-1.0558151,true scores
858,-0.20524611,true scores
859,-0.61739624,true scores
860,-1.1734325,true scores
861,-3.2711022,true scores
862,-0.56165886,true scores
863,-0.67684615,true scores
864,-2.3187551,true scores
865,-1.2245953,true scores
866,0.041221026,true scores
867,-0.59358346,true scores
868,-0.16415571,true scores
869,0.0097505189,true scores
870,-0.12206852,true scores
871,-0.67981732,true scores
872,-1.4876648,true scores
873,-2.0195735,true scores
874,0.0064925146,true scores
875,-0.50312847,true scores
876,-0.30985159,true scores
877,-0.74160194,true scores
878,-0.34557328,true scores
879,-1.8721325,true scores
880,-1.5275074,true scores
881,-0.16415571,true scores
882,-0.5663749,true scores
883,-0.82427555,true scores
884,-0.32586959,true scores
885,-0.4294768,true scores
886,-2.125304,true scores
887,-0.70744014,true scores
888,-0.61766315,true scores
889,-1.4055276,true scores
890,-0.53723222,true scores
891,-0.67343551,true scores
892,-0.47433582,true scores
893,-0.78080314,true scores
894,-0.55651259,true scores
895,-0.70573801,true scores
896,-0.69169074,true scores
897,0.80596954,true scores
898,-1.2881601,true scores
899,0.17398877,true scores
900,-0.32586959,true scores
901,-0.71658713,true scores
902,0.33056018,true scores
903,-0.35308042,true scores
904,-0.26760691,true scores
905,-0.11980627,true scores
906,-0.6612376,true scores
907,-0.1523733,true scores
908,-1.1718975,true scores
909,-0.66072464,true scores
910,-0.66234809,true scores
911,1.4966104,true scores
912,-0.099615909,true scores
913,0.17398877,true scores
914,-0.25483596,true scores
915,-1.0144284,true scores
916,-0.72106123,true scores
917,0.023797292,true scores
918,-0.56024253,true scores
919,-0.30489469,true scores
920,-0.4669818,true scores
921,-0.68539983,true scores
922,-0.94797093,true scores
923,-0.52396774,true scores
924,2.3068187,true scores
925,-0.58895898,true scores
926,-0.73020279,true scores
927,-0.16576613,true scores
928,-0.37340185,true scores
929,0.42335847,true scores
930,-4.7489896,true scores
931,-0.46042487,true scores
932,0.19775812,true scores
933,-2.2288344,true scores
934,-0.75645608,true scores
935,-0.30014184,true scores
936,-0.061569747,true scores
937,-0.6612376,true scores
938,-0.70573801,true scores
939,-0.16688868,true scores
940,-1.1215936,true scores
941,-2.3187551,true scores
942,-0.44417778,true scores
943,-0.44363105,true scores
944,0.42458084,true scores
945,-0.45621133,true scores
946,-0.66072464,true scores
947,-0.82024115,true scores
948,-0.38265139,true scores
949,-0.88878745,true scores
950,-0.55029565,true scores
951,-0.67014498,true scores
952,0.20784426,true scores
953,-0.33910418,true scores
954,-1.0436105,true scores
955,-0.05152614,true scores
956,-0.79994041,true scores
957,-0.5663749,true scores
958,0.17379878,true scores
959,-0.89264476,true scores
960,-0.88350695,true scores
961,-0.31690985,true scores
962,-0.89347321,true scores
963,-0.84664279,true scores
964,-0.11001449,true scores
965,-0.42026475,true scores
966,-0.68876368,true scores
967,-1.1632056,true scores
968,-0.42089185,true scores
969,-1.4055276,true scores
970,0.58121991,true scores
971,0.058906417,true scores
972,-0.12987387,true scores
973,-0.36086467,true scores
974,-0.50838912,true scores
975,-1.1789993,true scores
976,-0.72293079,true scores
977,0.030389119,true scores
978,-0.23390727,true scores
979,-0.19104092,true scores
980,-0.38005474,true scores
981,-0.87397933,true scores
982,-0.16239056,true scores
983,-0.8409372,true scores
984,-1.4876648,true scores
985,-0.14616325,true scores
986,-0.54064357,true scores
987,-0.50312847,true scores
988,-1.3942206,true scores
989,-0.29111496,true scores
990,0.18740712,true scores
991,-2.2166491,true scores
992,-1.4855412,true scores
993,-1.0284073,true scores
994,-0.16006722,true scores
995,0.010163028,true scores
996,0.1226592,true scores
997,-1.9283211,true scores
998,0.92441475,true scores
999,-1.3178704,true scores
1000,0.26582313,true scores
1001,-0.5441314,true scores
1002,-0.00014969311,true scores
1003,-0.17843708,true scores
1004,-0.42217264,true scores
1005,-1.3183987,true scores
1006,-0.67559326,true scores
1007,-0.44363105,true scores
1008,-0.33591336,true scores
1009,0.068544134,true scores
1010,0.73553336,true scores
1011,-1.7619057,true scores
1012,-1.5494249,true scores
1013,-0.61254787,true scores
1014,-0.78135926,true scores
1015,0.34871721,true scores
1016,-0.37364113,true scores
1017,-0.63084066,true scores
1018,-0.72106123,true scores
1019,0.18740712,true scores
1020,-0.64832056,true scores
1021,-9.4926443,true scores
1022,0.34871721,true scores
1023,-1.1893684,true scores
1024,-1.2765381,true scores
1025,-0.340684,true scores
1026,-1.1683677,true scores
1027,-0.71423334,true scores
1028,-1.3935771,true scores
1029,-0.51436877,true scores
1030,-0.52859139,true scores
1031,-1.9879708,true scores
1032,-0.71539605,true scores
1033,-0.17592876,true scores
1034,0.030389119,true scores
1035,-0.82024115,true scores
1036,-1.6291964,true scores
1037,-1.6056088,true scores
1038,-1.4552913,true scores
1039,0.91268188,true scores
1040,-0.60070914,true scores
1041,-0.4429585,true scores
1042,-0.38713562,true scores
1043,-2.1244247,true scores
1044,-0.70769882,true scores
1045,-0.53263658,true scores
1046,-0.40967211,true scores
1047,0.074489959,true scores
1048,-0.72286201,true scores
1049,-1.3319654,true scores
1050,-0.79214621,true scores
1051,-0.52869892,true scores
1052,-0.01677091,true scores
1053,-0.37990001,true scores
1054,-0.056831162,true scores
1055,-1.2435366,true scores
1056,-0.4245235,true scores
1057,-0.28645927,true scores
1058,-0.42426294,true scores
1059,-0.32782385,true scores
1060,-0.41520619,true scores
1061,-0.33905485,true scores
1062,-0.55209327,true scores
1063,-1.1359226,true scores
1064,-0.11980627,true scores
1065,-0.65856862,true scores
1066,-1.0617688,true scores
1067,0.55838865,true scores
1068,-0.9277972,true scores
1069,-1.1649994,true scores
1070,-1.504014,true scores
1071,-1.1422597,true scores
1072,-0.336694,true scores
1073,-1.257273,true scores
1074,0.098470427,true scores
1075,-0.40967211,true scores
1076,-0.4621571,true scores
1077,-0.54786849,true scores
1078,-0.62839204,true scores
1079,-1.1883817,true scores
1080,-0.77075452,true scores
